action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ACTIVITY
,,2137218,[],CHEMBL920958,Inhibition of Myt1,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCc2[nH]c(=S)c(C#N)c(-c3cccs3)c2C1,,,CHEMBL1145498,Proc Natl Acad Sci U S A,2007,"{'bei': '20.60', 'le': '0.43', 'lle': '2.59', 'sei': '13.83'}",,CHEMBL261211,,CHEMBL261211,5.92,0,http://www.openphacts.org/units/Nanomolar,705221,=,1,1,=,,IC50,nM,,1200,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,1200,5.920818754
,,6262773,[],CHEMBL1798996,Inhibition of MYT1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C(=O)NCCO)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O,,,CHEMBL1795201,Bioorg Med Chem Lett,2011,,,CHEMBL1738710,,CHEMBL1738710,,0,http://www.openphacts.org/units/Nanomolar,1435523,>,1,1,>,,IC50,nM,,10000,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,uM,UO_0000065,,10,5
,,8019301,[],CHEMBL1948658,Competitive inhibition of human Myt1 by TR-FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,,,CHEMBL1944550,Bioorg Med Chem Lett,2012,"{'bei': '15.91', 'le': '0.32', 'lle': '2.38', 'sei': '11.28'}",,CHEMBL49120,PD-0166285,CHEMBL49120,8.15,0,http://www.openphacts.org/units/Nanomolar,1576640,=,1,1,=,,IC50,nM,,7,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,7,8.15490196
,,12183834,[],CHEMBL2211989,Inhibition of PKMYT1,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,,,CHEMBL2203257,Bioorg Med Chem Lett,2012,,,CHEMBL2205766,,CHEMBL2205766,,0,http://www.openphacts.org/units/Nanomolar,1759115,<,1,1,>,,IC50,nM,,10000,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,pIC50,,UO_0000065,,5,5
,,18664729,[],CHEMBL4233136,Inhibition of human full length PKMYT1 expressed in HEK293 cells using EFS (247 to 259 residues) as substrate after 1 hr by fluorescence polarization immunoasay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,,,CHEMBL4229416,Bioorg Med Chem,2018,"{'bei': '12.96', 'le': '0.26', 'lle': '1.69', 'sei': '8.30'}",,CHEMBL288441,BOSUTINIB,CHEMBL288441,6.88,0,http://www.openphacts.org/units/Nanomolar,3099920,=,1,1,=,,IC50,nM,,133,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,133,6.876148359
,,18664730,[],CHEMBL4233136,Inhibition of human full length PKMYT1 expressed in HEK293 cells using EFS (247 to 259 residues) as substrate after 1 hr by fluorescence polarization immunoasay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,,,CHEMBL4229416,Bioorg Med Chem,2018,"{'bei': '16.85', 'le': '0.34', 'lle': '4.91', 'sei': '7.72'}",,CHEMBL5416410,DASATINIB,CHEMBL1421,8.22,0,http://www.openphacts.org/units/Nanomolar,3099921,=,1,1,=,,IC50,nM,,6,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,6,8.22184875
,,18664731,[],CHEMBL4233136,Inhibition of human full length PKMYT1 expressed in HEK293 cells using EFS (247 to 259 residues) as substrate after 1 hr by fluorescence polarization immunoasay,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,,,CHEMBL4229416,Bioorg Med Chem,2018,"{'bei': '10.60', 'le': '0.20', 'lle': '2.42', 'sei': '5.09'}",,CHEMBL1976040,ADAVOSERTIB,CHEMBL1976040,5.31,0,http://www.openphacts.org/units/Nanomolar,3099922,=,1,1,=,,IC50,nM,,4940,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,4940,5.306273051
,,18664732,[],CHEMBL4233136,Inhibition of human full length PKMYT1 expressed in HEK293 cells using EFS (247 to 259 residues) as substrate after 1 hr by fluorescence polarization immunoasay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,,,CHEMBL4229416,Bioorg Med Chem,2018,"{'bei': '15.80', 'le': '0.32', 'lle': '2.33', 'sei': '11.20'}",,CHEMBL49120,PD-0166285,CHEMBL49120,8.1,0,http://www.openphacts.org/units/Nanomolar,3099923,=,1,1,=,,IC50,nM,,8,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,8,8.096910013
,,18664733,[],CHEMBL4233136,Inhibition of human full length PKMYT1 expressed in HEK293 cells using EFS (247 to 259 residues) as substrate after 1 hr by fluorescence polarization immunoasay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(N4CCOCC4)cc3)nc21,,,CHEMBL4229416,Bioorg Med Chem,2018,"{'bei': '15.80', 'le': '0.32', 'lle': '2.74', 'sei': '10.54'}",,CHEMBL106772,,CHEMBL106772,7.62,0,http://www.openphacts.org/units/Nanomolar,3099924,=,1,1,=,,IC50,nM,,24,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,24,7.619788758
,,18664734,[],CHEMBL4233136,Inhibition of human full length PKMYT1 expressed in HEK293 cells using EFS (247 to 259 residues) as substrate after 1 hr by fluorescence polarization immunoasay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)ccc1F,,,CHEMBL4229416,Bioorg Med Chem,2018,"{'bei': '16.22', 'le': '0.33', 'lle': '1.47', 'sei': '11.64'}",,CHEMBL574058,,CHEMBL574058,6.96,0,http://www.openphacts.org/units/Nanomolar,3099925,=,1,1,=,,IC50,nM,,109,CHEMBL3984,Homo sapiens,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,9606,,,IC50,nM,UO_0000065,,109,6.962573502
