source,members,n_members,train_n,train_mae,train_rmse,train_r2,train_accuracy_at_thresh,test_n,test_mae,test_rmse,test_r2,test_accuracy_at_thresh
ensemble,Descriptors__RandomForest + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,4,163,0.16088556814388696,0.19980503961702906,0.9743932824228572,0.9938650306748467,41,0.3854964439778445,0.5288140602164564,0.797899253186985,0.7560975609756098
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso,4,163,0.15814045474823846,0.19779455538575214,0.9749060111371787,0.9938650306748467,41,0.39211738109534666,0.5343643757469829,0.7936345799245889,0.7073170731707317
ensemble,Fingerprints__GradientBoosting + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,3,163,0.1505802912341413,0.18375789540023238,0.9783412667890636,1.0,41,0.40305035096367664,0.5388040235698286,0.7901912524519346,0.7317073170731707
ensemble,Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,5,163,0.13301388517191928,0.1643078688602395,0.982683593957293,1.0,41,0.39155986421365346,0.5395876119374438,0.7895805545587578,0.7317073170731707
ensemble,Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,5,163,0.15198528849255982,0.1876564799818021,0.9774124999409045,1.0,41,0.3968111408031735,0.5406192776715063,0.788775161504694,0.7073170731707317
ensemble,Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.15638874282457516,0.1959828559840805,0.975363602665966,1.0,41,0.3932146312668354,0.5415474507127574,0.7880492476952107,0.7073170731707317
ensemble,Descriptors__RandomForest + Molformer Embeddings__Lasso,2,163,0.1783945655068518,0.22838411178392293,0.966544092813051,0.950920245398773,41,0.3923063859392974,0.5422626924351605,0.7874890156040951,0.6829268292682927
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.1514968212761184,0.1896549260308954,0.9769288474846325,1.0,41,0.3840052645166651,0.5434374846582257,0.786567223672529,0.7317073170731707
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,5,163,0.14591856327869024,0.1793761897710311,0.979361856647113,1.0,41,0.3869086356853737,0.5441499294841478,0.7860072374516398,0.7317073170731707
ensemble,Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,7,163,0.12379439658890486,0.14893231387550201,0.9857728172782546,1.0,41,0.4002639406581859,0.5443363718695156,0.7858605714173019,0.7073170731707317
