features,model,CV R²,CV RMSE,CV MAE,Train RMSE (in-sample),overfit_gap_cv
Fingerprints,RandomForest,0.6879884073714806,0.6974528406821769,0.5174488901353933,0.26476104564130226,43.26917950408747
Descriptors,RandomForest,0.6214972932886929,0.7681817355593272,0.5636037096158656,0.2750696074676752,49.3112128091652
Molformer Embeddings,RandomForest,0.5857222727607274,0.8036654067670084,0.6475355513309125,0.3098658748781642,49.379953188884414
Chemberta Embeddings,RandomForest,0.5731003791105612,0.8158162786075055,0.6386222440382401,0.2980472231186079,51.776905548889765
Descriptors,SVR_RBF,0.6443848262619012,0.744594157387195,0.5527063401699153,0.20513634067434142,53.94578167128537
Chemberta Embeddings,SVR_RBF,0.6721729247810941,0.714910855876595,0.5303096295218582,0.13752109004044477,57.73897658361502
Fingerprints,GradientBoosting,0.6818480470002362,0.7042823084736837,0.5240933340142291,0.09079779139212345,61.34845170815603
Molformer Embeddings,Lasso,0.53549189131582,0.8509932829751088,0.6537813562767923,0.22883022653192825,62.21630564431806
Molformer Embeddings,SVR_RBF,0.6611914366220134,0.7267861985688194,0.5686153917923176,0.0963725297051431,63.04136688636763
Fingerprints,PLS,0.6616519119704504,0.7262921424066834,0.5513231541388869,0.08449108330048714,64.18010591061962
Fingerprints,Lasso,0.6196022119691105,0.7701023945151921,0.5605996552783301,0.11940116772485938,65.07012267903328
Fingerprints,ElasticNet,0.6420707603244806,0.7470128477823059,0.5329272442074786,0.08838065800315494,65.8632189779151
Molformer Embeddings,PLS,0.4495083117263905,0.9264134791701727,0.6781312024752544,0.25764814403217984,66.87653351379929
Fingerprints,Ridge,0.6483506834524686,0.7404306212759665,0.5649088214378588,0.06769270101872452,67.2737920257242
Descriptors,Ridge,0.33863910130264474,1.01542707639227,0.7292371161575885,0.3398452806698837,67.55817957223861
Fingerprints,SVR_RBF,0.5853529384701808,0.8040235663393943,0.6128331579406383,0.0973690538900385,70.66545124493558
Descriptors,GradientBoosting,0.6345927831881699,0.7547759310164905,0.5453683582074279,0.019229991641291827,73.55459393751987
Molformer Embeddings,ElasticNet,0.4678273147587587,0.9108686862909546,0.7041962032834006,0.15086201228705956,76.00066740038952
Chemberta Embeddings,GradientBoosting,0.5806116903101889,0.8086072716768737,0.6209543962397709,0.0040769295403817775,80.4530342136492
Molformer Embeddings,GradientBoosting,0.546366250122994,0.8409732104472715,0.6597351622518739,0.0005100295439309517,84.04631809033405
