model_a,model_b,n_total,n11_both_correct,n00_both_wrong,n10_a_correct_b_wrong,n01_a_wrong_b_correct,q_statistic,disagreement,double_fault,pct_a_rescues_b,pct_b_rescues_a,passes_double_fault_filter
Molformer Embeddings__RandomForest,Molformer Embeddings__Lasso,163,44,52,32,35,0.3427230046948357,0.4110429447852761,0.31901840490797545,19.631901840490798,21.47239263803681,True
Descriptors__SVR_RBF,Molformer Embeddings__Lasso,163,56,41,43,23,0.397869101978691,0.4049079754601227,0.25153374233128833,26.380368098159508,14.110429447852761,True
Descriptors__RandomForest,Molformer Embeddings__Lasso,163,57,44,40,22,0.4805194805194805,0.3803680981595092,0.26993865030674846,24.539877300613497,13.496932515337424,True
Molformer Embeddings__RandomForest,Fingerprints__GradientBoosting,163,55,46,21,41,0.49218519610734296,0.3803680981595092,0.2822085889570552,12.883435582822086,25.153374233128833,True
Molformer Embeddings__Lasso,Fingerprints__PLS,163,57,45,22,39,0.49868536371603855,0.37423312883435583,0.27607361963190186,13.496932515337424,23.926380368098158,True
Molformer Embeddings__RandomForest,Descriptors__SVR_RBF,163,57,45,19,42,0.5254237288135594,0.37423312883435583,0.27607361963190186,11.656441717791411,25.766871165644172,True
Molformer Embeddings__RandomForest,Fingerprints__PLS,163,56,47,20,40,0.5337995337995338,0.36809815950920244,0.2883435582822086,12.269938650306749,24.539877300613497,True
Chemberta Embeddings__RandomForest,Molformer Embeddings__Lasso,163,52,52,32,27,0.515695067264574,0.3619631901840491,0.31901840490797545,19.631901840490798,16.56441717791411,True
Chemberta Embeddings__SVR_RBF,Molformer Embeddings__Lasso,163,61,44,40,18,0.5769682726204466,0.3558282208588957,0.26993865030674846,24.539877300613497,11.042944785276074,True
Fingerprints__RandomForest,Molformer Embeddings__Lasso,163,58,48,36,21,0.5728813559322034,0.3496932515337423,0.294478527607362,22.085889570552148,12.883435582822086,True
Fingerprints__RandomForest,Molformer Embeddings__RandomForest,163,59,52,35,17,0.6751296751296751,0.31901840490797545,0.31901840490797545,21.47239263803681,10.429447852760736,True
Descriptors__SVR_RBF,Fingerprints__PLS,163,72,40,27,24,0.6326530612244898,0.3128834355828221,0.24539877300613497,16.56441717791411,14.723926380368098,True
Chemberta Embeddings__RandomForest,Descriptors__SVR_RBF,163,66,46,18,33,0.6727272727272727,0.3128834355828221,0.2822085889570552,11.042944785276074,20.245398773006134,True
Fingerprints__GradientBoosting,Molformer Embeddings__Lasso,163,62,50,34,17,0.6856987493202827,0.3128834355828221,0.3067484662576687,20.858895705521473,10.429447852760736,True
Molformer Embeddings__SVR_RBF,Fingerprints__PLS,163,66,47,20,30,0.6758508914100486,0.3067484662576687,0.2883435582822086,12.269938650306749,18.404907975460123,True
Chemberta Embeddings__RandomForest,Fingerprints__PLS,163,65,48,19,31,0.6823941763278512,0.3067484662576687,0.294478527607362,11.656441717791411,19.01840490797546,True
Chemberta Embeddings__RandomForest,Fingerprints__GradientBoosting,163,66,49,18,30,0.7138314785373608,0.294478527607362,0.3006134969325153,11.042944785276074,18.404907975460123,True
Chemberta Embeddings__SVR_RBF,Fingerprints__PLS,163,75,41,26,21,0.6984258492129246,0.2883435582822086,0.25153374233128833,15.950920245398773,12.883435582822086,True
Descriptors__SVR_RBF,Molformer Embeddings__SVR_RBF,163,69,47,30,17,0.7282174260591526,0.2883435582822086,0.2883435582822086,18.404907975460123,10.429447852760736,True
Molformer Embeddings__RandomForest,Chemberta Embeddings__SVR_RBF,163,65,51,11,36,0.7865804365400162,0.2883435582822086,0.3128834355828221,6.748466257668712,22.085889570552148,True
Descriptors__SVR_RBF,Fingerprints__GradientBoosting,163,75,43,24,21,0.7296862429605793,0.27607361963190186,0.26380368098159507,14.723926380368098,12.883435582822086,True
Chemberta Embeddings__SVR_RBF,Fingerprints__GradientBoosting,163,77,43,24,19,0.7578975311919299,0.26380368098159507,0.26380368098159507,14.723926380368098,11.656441717791411,True
Fingerprints__RandomForest,Descriptors__SVR_RBF,163,75,45,19,24,0.7619420516836335,0.26380368098159507,0.27607361963190186,11.656441717791411,14.723926380368098,True
Fingerprints__GradientBoosting,Molformer Embeddings__SVR_RBF,163,70,51,26,16,0.7912694430506774,0.25766871165644173,0.3128834355828221,15.950920245398773,9.815950920245399,True
Descriptors__RandomForest,Fingerprints__PLS,163,76,46,21,20,0.7854954034729316,0.25153374233128833,0.2822085889570552,12.883435582822086,12.269938650306749,True
Descriptors__SVR_RBF,Chemberta Embeddings__SVR_RBF,163,80,43,19,21,0.7921333680646001,0.24539877300613497,0.26380368098159507,11.656441717791411,12.883435582822086,True
Fingerprints__RandomForest,Fingerprints__PLS,163,75,48,19,21,0.800450112528132,0.24539877300613497,0.294478527607362,11.656441717791411,12.883435582822086,True
Descriptors__RandomForest,Chemberta Embeddings__RandomForest,163,71,53,26,13,0.8351621555718117,0.2392638036809816,0.32515337423312884,15.950920245398773,7.975460122699387,True
Descriptors__RandomForest,Fingerprints__GradientBoosting,163,78,48,19,18,0.8325991189427313,0.22699386503067484,0.294478527607362,11.656441717791411,11.042944785276074,True
Chemberta Embeddings__RandomForest,Chemberta Embeddings__SVR_RBF,163,74,52,10,27,0.8688683827100534,0.22699386503067484,0.31901840490797545,6.134969325153374,16.56441717791411,True
Fingerprints__RandomForest,Chemberta Embeddings__SVR_RBF,163,81,49,13,20,0.8770394892409553,0.20245398773006135,0.3006134969325153,7.975460122699387,12.269938650306749,True
Descriptors__RandomForest,Chemberta Embeddings__SVR_RBF,163,84,49,13,17,0.8980862347244639,0.18404907975460122,0.3006134969325153,7.975460122699387,10.429447852760736,True
