SMILES,correct_Chemberta Embeddings__RandomForest,correct_Chemberta Embeddings__SVR_RBF,correct_Descriptors__RandomForest,correct_Descriptors__SVR_RBF,correct_Fingerprints__GradientBoosting,correct_Fingerprints__PLS,correct_Fingerprints__RandomForest,correct_Molformer Embeddings__Lasso,correct_Molformer Embeddings__RandomForest,correct_Molformer Embeddings__SVR_RBF,err_Chemberta Embeddings__RandomForest,err_Chemberta Embeddings__SVR_RBF,err_Descriptors__RandomForest,err_Descriptors__SVR_RBF,err_Fingerprints__GradientBoosting,err_Fingerprints__PLS,err_Fingerprints__RandomForest,err_Molformer Embeddings__Lasso,err_Molformer Embeddings__RandomForest,err_Molformer Embeddings__SVR_RBF
C#CCn1c(C)nc2c(c(C(N)=O)c(N)n2-c2c(C)ccc(O)c2C)c1=O,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0144357515261095,0.37725553382810695,0.09892714777000222,0.31506731557189127,0.02491768078781398,0.138113296555348,0.053226354258326225,0.3647521082827154,0.5964925156094427,0.38334552024355695
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)c1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.003205081472010818,0.18389461995296497,0.08522497603479007,0.2882347223344359,0.015999920122650835,0.5845216118675864,0.19123759530223872,0.2175648069106444,0.5474326885617842,0.29849677450955614
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01994336988131984,0.1224831737385017,0.1366901597626775,0.008167704891776317,0.04693303898697021,0.3323156855806104,0.2451888040532344,0.6087138509475096,0.37447124512456487,0.24962426580878283
C=CCn1c(C)nc2c(c(C(N)=O)c(N)n2-c2c(C)ccc(O)c2C)c1=O,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7965679845877656,0.1909562642460827,0.2521424988327823,0.3143117956629915,0.15179994019027276,0.38548782925245995,0.15490659533665685,0.19951596939355554,0.8104542362628919,0.5556349118909951
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.304521830860784,1.1471772069249528,1.5602383244281732,1.2237112088477513,1.2692096069777747,1.3329207721512981,1.4752525008117887,0.11455726623535156,1.2298471181366724,1.203767201791349
CC(C)(F)c1nc(-n2c3nc(Nc4ccc5c(c4)CCNC5(C)C)ncc3c(=O)n2C2CC2)ccc1F,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8391613253891741,0.050447750405023584,0.18814396352331642,0.5328061964988713,0.26232322773249184,0.08960746677482856,0.003794153838097003,0.3415841608229977,0.4205420071000603,0.05762260772834171
CC(C)(F)c1nc(-n2c3nc(Nc4ccc5c(c4)CCNC5)ncc3c(=O)n2C2CC2)ccc1F,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.1984931710575069,0.36750623352921785,0.2873621658316692,0.07180273821342009,0.3271713983682041,0.12354431346687367,0.2871395567083326,0.6776627864409184,0.8195514427206732,0.49601395287811023
CC(C)c1cnc2c(-c3ccc(F)c4[nH]ncc34)c(N)c(=O)[nH]c2c1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6209262781870528,0.22664217355989535,0.35038013364111364,0.10013818987331291,0.6319191820119103,0.4981282082945251,0.4840561899478919,0.5942415460617667,0.3874529297277274,0.3394769556246029
CC(C)n1c(=O)c2cnc(Nc3ccc4c(c3)CCNC4(C)C)nc2n1-c1ccc(F)c(C(C)(C)O)n1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2567063916336787,0.0014564530237146656,0.17860519046665502,0.7237336292942214,0.2743415905858635,0.3367716759682109,0.05669047990410192,0.6224622563286131,0.29189430369989466,0.09223444134051206
CC(C)n1c(=O)c2cnc(Nc3ccc4c(c3)CCNC4)nc2n1-c1ccc(F)c(C(C)(C)F)n1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.10394416076521384,0.4348428501763957,0.27493275757835,0.33262573669169004,0.3486457893277688,0.3994543401589583,0.3154088428133468,0.5044885393017582,0.20098004957122662,0.2640218250543631
